Date,Open,High,Low,Close,Adj Close,Volume
2006-01-04,2.374500,2.386500,2.334500,2.362500,2.362500,148818000
2006-01-05,2.358000,2.410000,2.355500,2.382500,2.382500,108344000
2006-01-06,2.398500,2.429000,2.366000,2.393500,2.393500,123058000
2006-01-09,2.327500,2.355000,2.320000,2.354000,2.354000,178862000
2006-01-10,2.320500,2.337500,2.268000,2.282500,2.282500,193722000
2006-01-11,2.282500,2.285000,2.213000,2.246500,2.246500,169944000
2006-01-12,2.239500,2.254500,2.204500,2.218000,2.218000,116366000
2006-01-13,2.223500,2.242500,2.200000,2.220000,2.220000,88644000
2006-01-17,2.197500,2.216000,2.183000,2.200000,2.200000,112620000
2006-01-18,2.159500,2.229500,2.155000,2.216000,2.216000,174866000
2006-01-19,2.224500,2.262000,2.215000,2.222500,2.222500,103138000
2006-01-20,2.211500,2.218000,2.160000,2.196000,2.196000,166148000
2006-01-23,2.209000,2.237500,2.175000,2.186500,2.186500,115056000
2006-03-10,1.812000,1.825000,1.787000,1.811000,1.811000,99454000
2006-03-13,1.815500,1.831500,1.798500,1.809500,1.809500,65562000
2006-03-14,1.802000,1.850000,1.800500,1.845500,1.845500,83704000
2006-03-15,1.847500,1.850000,1.821500,1.844500,1.844500,56030000
2006-03-16,1.854000,1.869500,1.837000,1.838500,1.838500,96456000
2006-03-17,1.844000,1.849000,1.792500,1.799500,1.799500,137724000
2006-03-20,1.796000,1.863500,1.790000,1.811500,1.811500,123416000
2006-03-21,1.796000,1.836500,1.783000,1.796000,1.796000,133432000
2006-03-22,1.800000,1.827000,1.789500,1.800000,1.800000,86016000
2006-03-23,1.798000,1.817000,1.774000,1.784000,1.784000,80718000
2006-03-24,1.786000,1.806000,1.765500,1.773500,1.773500,73640000
2006-03-27,1.775000,1.783000,1.757000,1.762500,1.762500,74170000
2006-03-28,1.760500,1.801000,1.760000,1.784500,1.784500,114544000
2006-03-29,1.784500,1.840500,1.765500,1.816000,1.816000,143984000
2006-03-30,1.822500,1.845000,1.809000,1.833500,1.833500,80984000
2006-03-31,1.834000,1.838500,1.824000,1.826500,1.826500,53180000
2006-04-03,1.833500,1.866500,1.805000,1.807000,1.807000,101080000
2006-04-04,1.807000,1.855000,1.801000,1.838500,1.838500,74356000
2006-04-05,1.833000,1.867000,1.813500,1.867000,1.867000,111190000
2006-04-06,1.860000,1.942000,1.856500,1.925500,1.925500,185892000
2006-04-07,1.927500,1.933500,1.850000,1.854500,1.854500,114090000
2006-04-10,1.857500,1.864000,1.811000,1.830500,1.830500,94950000
2006-04-11,1.830500,1.837500,1.776000,1.803000,1.803000,132112000
2006-04-12,1.795500,1.822000,1.795500,1.806500,1.806500,57116000
2006-04-13,1.797500,1.836000,1.774500,1.831000,1.831000,74304000
2006-04-17,1.823500,1.831000,1.752500,1.763500,1.763500,88844000
2006-04-18,1.769500,1.822500,1.760000,1.814000,1.814000,91914000
2006-04-19,1.806000,1.848000,1.794500,1.844500,1.844500,85610000
2006-04-20,1.835000,1.860000,1.811500,1.817000,1.817000,107752000
2006-04-21,1.831000,1.839000,1.786000,1.801500,1.801500,88470000
2006-04-24,1.806000,1.806000,1.766000,1.789500,1.789500,61752000
2006-04-25,1.779500,1.788500,1.750500,1.777500,1.777500,255810000
2006-04-26,1.767000,1.817500,1.757500,1.789500,1.789500,221430000
2006-04-27,1.775500,1.793500,1.765000,1.787000,1.787000,118650000
2006-04-28,1.788500,1.794500,1.757000,1.760500,1.760500,69850000
2006-05-01,1.759500,1.778500,1.722000,1.729500,1.729500,141454000
2006-05-02,1.732000,1.747000,1.711500,1.719000,1.719000,117140000
2006-05-03,1.714500,1.719500,1.675500,1.698000,1.698000,151718000
2006-05-04,1.731000,1.736000,1.719000,1.723500,1.723500,119958000
2006-05-05,1.732500,1.752000,1.707500,1.752000,1.752000,114818000
2006-05-08,1.749500,1.765500,1.723500,1.734500,1.734500,84736000
2006-05-09,1.721000,1.763000,1.710500,1.742000,1.742000,109694000
2006-05-10,1.734000,1.750000,1.705000,1.708000,1.708000,66006000
2006-05-11,1.706000,1.707500,1.654000,1.676500,1.676500,153920000
2006-05-12,1.678000,1.689000,1.627500,1.636500,1.636500,97472000
2006-05-15,1.627500,1.642500,1.610500,1.639000,1.639000,86100000
2006-05-16,1.642000,1.651000,1.616000,1.638000,1.638000,104432000
2006-05-17,1.622500,1.635000,1.576500,1.580500,1.580500,134082000
2006-05-18,1.585500,1.682000,1.576000,1.630500,1.630500,240544000
2006-05-19,1.633000,1.700000,1.601500,1.697000,1.697000,196344000
2006-05-22,1.698000,1.749500,1.659000,1.741500,1.741500,222458000
2006-05-23,1.750000,1.800000,1.688000,1.688000,1.688000,176454000
2006-05-24,1.670500,1.761500,1.668500,1.759500,1.759500,190842000
2006-05-25,1.768000,1.784500,1.730000,1.781500,1.781500,116914000
2006-05-26,1.783000,1.825000,1.773000,1.803500,1.803500,90486000
2006-05-30,1.786500,1.787500,1.722000,1.732000,1.732000,118416000
2006-05-31,1.737000,1.747000,1.686500,1.730500,1.730500,103932000
2006-06-01,1.731500,1.772500,1.715000,1.753500,1.753500,118640000
2006-06-02,1.759500,1.761000,1.702500,1.738000,1.738000,108858000
2006-06-05,1.723000,1.727000,1.663500,1.674500,1.674500,100988000
2006-06-06,1.679000,1.690000,1.646500,1.670500,1.670500,85532000
2006-06-07,1.670000,1.727000,1.645500,1.688500,1.688500,106076000
2006-06-08,1.677500,1.703000,1.621000,1.677500,1.677500,166220000
2006-06-09,1.675000,1.717500,1.672500,1.689000,1.689000,104652000
2006-06-12,1.700000,1.722500,1.674500,1.680000,1.680000,83916000
2006-07-25,1.700000,1.708000,1.669500,1.679500,1.679500,344600000
2006-07-26,1.438000,1.450000,1.298000,1.313000,1.313000,1539704000
2006-07-27,1.322500,1.340000,1.310500,1.328000,1.328000,527876000
2006-07-28,1.340000,1.359000,1.328500,1.358500,1.358500,248440000
2006-07-31,1.351000,1.364500,1.337000,1.344500,1.344500,160764000
2006-08-01,1.327500,1.332000,1.292000,1.316000,1.316000,262576000
2006-08-02,1.307500,1.315000,1.294500,1.304500,1.304500,156208000
2006-08-03,1.304500,1.345000,1.295000,1.334500,1.334500,138822000
2006-08-04,1.347000,1.379500,1.340000,1.364500,1.364500,205048000
2006-08-07,1.359500,1.364500,1.329500,1.339000,1.339000,109528000
2006-08-08,1.340000,1.351000,1.309500,1.318000,1.318000,145204000
2006-08-09,1.327000,1.335000,1.300000,1.310500,1.310500,138224000
2006-08-10,1.310000,1.326000,1.294000,1.324500,1.324500,128112000
2006-08-11,1.321500,1.321500,1.288000,1.303500,1.303500,102318000
2006-08-14,1.311000,1.353000,1.309000,1.326500,1.326500,102560000
2006-08-15,1.348500,1.393000,1.331000,1.388500,1.388500,164032000
2006-08-16,1.398500,1.407000,1.376000,1.397500,1.397500,152732000
2006-08-17,1.398000,1.487500,1.391500,1.454500,1.454500,189926000
2006-08-18,1.454500,1.461500,1.411000,1.456000,1.456000,119972000
2006-08-21,1.435000,1.449000,1.398500,1.406500,1.406500,106698000
2006-08-22,1.407000,1.444500,1.402500,1.418500,1.418500,91742000
2006-08-23,1.428000,1.444500,1.388500,1.407000,1.407000,94528000
2006-08-24,1.412000,1.412500,1.377000,1.398500,1.398500,90338000
2006-08-25,1.389500,1.411500,1.381000,1.401500,1.401500,70852000
2006-08-28,1.420000,1.450000,1.413500,1.445500,1.445500,121348000
2006-08-29,1.448500,1.486000,1.437500,1.476000,1.476000,147962000
2006-08-30,1.478500,1.542500,1.474000,1.533500,1.533500,226066000
2006-08-31,1.537500,1.549500,1.523500,1.541500,1.541500,118940000
2006-09-01,1.542500,1.590000,1.542500,1.588000,1.588000,131264000
2006-09-05,1.580500,1.615000,1.562000,1.611500,1.611500,149354000
2006-09-06,1.588000,1.599000,1.532500,1.540000,1.540000,182282000
2006-09-07,1.528500,1.532000,1.484000,1.486500,1.486500,178034000
2006-09-08,1.509500,1.533000,1.497000,1.525500,1.525500,104544000
2006-09-11,1.511500,1.556500,1.486000,1.539500,1.539500,148076000
2006-09-12,1.543500,1.597000,1.526500,1.586000,1.586000,130548000
2006-09-13,1.586500,1.598000,1.568500,1.583500,1.583500,87408000
2006-09-14,1.577000,1.593500,1.559000,1.582500,1.582500,74114000
2006-09-15,1.595000,1.637000,1.579000,1.626000,1.626000,205474000
2006-09-18,1.622500,1.633500,1.594000,1.604000,1.604000,102462000
2006-09-19,1.612000,1.615000,1.541000,1.579000,1.579000,171440000
2006-09-20,1.590500,1.640500,1.590000,1.606000,1.606000,170978000
2006-09-21,1.612000,1.628000,1.503500,1.511000,1.511000,311074000
2006-09-22,1.511000,1.547500,1.495000,1.542000,1.542000,144980000
2006-09-25,1.552500,1.598500,1.537000,1.589500,1.589500,132392000
2006-09-26,1.594500,1.629500,1.590000,1.625000,1.625000,132022000
2006-09-27,1.614000,1.623000,1.596500,1.616500,1.616500,109396000
2006-09-28,1.613500,1.616500,1.561000,1.592000,1.592000,149988000
2006-09-29,1.600500,1.617000,1.577000,1.606000,1.606000,104544000
2006-10-02,1.599000,1.601500,1.541500,1.543500,1.543500,136300000
2006-10-03,1.545000,1.600000,1.529000,1.585000,1.585000,160680000
2006-10-04,1.587500,1.641500,1.565000,1.638000,1.638000,141296000
2006-10-05,1.634000,1.670000,1.620000,1.666000,1.666000,169118000
2006-10-06,1.657500,1.661000,1.625000,1.629500,1.629500,84384000
2006-10-09,1.624500,1.674000,1.622500,1.669000,1.669000,105784000
2006-10-10,1.663500,1.679000,1.624500,1.631000,1.631000,126668000
2006-10-11,1.630500,1.657500,1.613500,1.645500,1.645500,134570000
2006-10-12,1.655000,1.685500,1.631500,1.677500,1.677500,119794000
2006-10-13,1.667500,1.679000,1.654000,1.666000,1.666000,81346000
2006-10-16,1.642500,1.660000,1.627500,1.630000,1.630000,135388000
2006-10-17,1.610000,1.630500,1.587500,1.623500,1.623500,132714000
2006-10-18,1.628500,1.639000,1.600000,1.615500,1.615500,106986000
2006-10-19,1.608500,1.642000,1.605000,1.627000,1.627000,80752000
2006-10-20,1.634500,1.634500,1.610500,1.628500,1.628500,116788000
2006-10-23,1.623500,1.645500,1.607000,1.644000,1.644000,161186000
2006-10-24,1.643500,1.900000,1.643000,1.681500,1.681500,463106000
2006-10-25,1.865000,1.899000,1.802000,1.884000,1.884000,930450000
2006-10-26,1.862500,1.924500,1.859000,1.915000,1.915000,341466000
2006-10-27,1.907500,1.919000,1.883000,1.912000,1.912000,199068000
2006-10-30,1.902500,1.917000,1.884000,1.907500,1.907500,137648000
2006-10-31,1.911000,1.929500,1.890000,1.904500,1.904500,124208000
2006-11-01,1.906500,1.910000,1.873000,1.878000,1.878000,133378000
2006-11-02,1.866500,1.888500,1.855500,1.872500,1.872500,108946000
2006-11-03,1.880500,1.885500,1.843500,1.873000,1.873000,102482000
2006-11-06,1.882000,1.917500,1.876500,1.910500,1.910500,90818000
2006-11-07,1.910000,1.950000,1.902000,1.938500,1.938500,154902000
2006-11-08,1.929000,1.974000,1.923000,1.973500,1.973500,163198000
2006-11-09,1.975000,1.988500,1.940500,1.942000,1.942000,116142000
2006-11-10,1.939500,1.968000,1.938000,1.963000,1.963000,89902000
2006-11-13,1.961500,2.000000,1.956500,1.999500,1.999500,138886000
2006-11-14,2.005500,2.083500,1.981000,2.075500,2.075500,219026000
2006-11-15,2.075000,2.155000,2.075000,2.130000,2.130000,271134000
2006-11-16,2.122500,2.147500,2.120000,2.142000,2.142000,220016000
2006-11-17,2.127500,2.133500,2.111000,2.127500,2.127500,130604000
2006-11-20,2.117500,2.127500,2.097000,2.122000,2.122000,115928000
2006-11-21,2.127500,2.162500,2.106000,2.127000,2.127000,139688000
2006-11-22,2.125000,2.149000,2.109000,2.148000,2.148000,90712000
2006-11-24,2.128000,2.147000,2.115500,2.120500,2.120500,44826000
2006-11-27,2.109000,2.140000,2.036000,2.042500,2.042500,179456000
2006-11-28,2.037500,2.053500,2.015000,2.046000,2.046000,141986000
2006-11-29,2.024000,2.055000,2.000000,2.031500,2.031500,157092000
2006-11-30,2.021000,2.032000,1.992500,2.017000,2.017000,126926000
2006-12-01,2.013000,2.027000,1.954500,1.970500,1.970500,166122000
2006-12-04,1.965500,1.974000,1.943500,1.955000,1.955000,194414000
2006-12-05,1.956500,1.965000,1.936000,1.949000,1.949000,114754000
2006-12-06,1.938500,1.979000,1.932000,1.945000,1.945000,115538000
2006-12-07,1.946500,1.954500,1.902500,1.906000,1.906000,132430000
2006-12-08,1.896000,1.947500,1.885000,1.923000,1.923000,102794000
2006-12-11,1.911000,1.957500,1.904000,1.934500,1.934500,96972000
2006-12-12,1.922000,1.947000,1.907500,1.923000,1.923000,101664000
